Var1,Freq
Mallard,1253
Canada goose,677
Green-winged teal,608
Black vulture,583
Blue-winged teal,573
Snow goose,571
Bald eagle,519
American wigeon,348
Red-tailed hawk,343
Great horned owl,338
Gadwall,292
Wood duck,263
Northern pintail,168
Northern shoveler,134
Turkey vulture,128
Ross's goose,116
American white pelican,108
American crow,86
Goose (unidentified),83
Peregrine falcon,68
Cackling goose,62
Great black-backed gull,55
American black duck,54
Ring-necked duck,54
Lesser scaup,49
Herring gull,47
Common raven,45
Trumpeter swan,40
Muscovy duck,36
Double-crested cormorant,31
Hooded merganser,31
Pelican (unidentified),31
Common eider,30
Cooper's hawk,30
Gull (unidentified),29
Redhead duck,28
Hawk (unidentified),27
Caspian tern,26
Sanderling,26
Cinnamon teal,24
Mute swan,24
Greater white-fronted goose,23
California condor,22
Swan (unidentified),22
Barred owl,20
Snowy owl,20
Red-shouldered hawk,19
Common murre,18
Wild turkey,18
Brown pelican,17
Glaucous gull,16
Duck (unidentified),15
Tundra swan,14
Western gull,14
Eared grebe,13
Owl (unidentified),13
Sandhill crane,13
Bufflehead,11
Common tern,11
Crow (unidentified),11
Golden eagle,11
Great blue heron,11
Ring-billed gull,11
Common goldeneye,9
Common loon,9
Cormorant (unidentified),9
Merganser (unidentified),9
Royal tern,9
Brant,8
Magpie (unidentified),8
Rough-legged hawk,8
Swainson's hawk,8
Black-crowned night heron,7
House sparrow,7
Osprey,7
Snowy egret,7
Vulture (unidentified),7
Ruddy duck,6
Sharp-shinned hawk,6
American kestrel,5
Canvasback,5
Fish crow,5
Mottled duck,5
White-faced ibis,5
Eagle (unidentified),4
Eastern screech owl,4
Great egret,4
Peafowl (unidentified),4
Red-breasted goose,4
Rhea (unidentified),4
Ring-necked pheasant,4
Snowy plover,4
American coot,3
Barn owl,3
Black scoter,3
Black swan,3
Black-billed magpie,3
Common merganser,3
Crested screamer,3
Dunlin,3
Glaucous-winged gull,3
Great-tailed grackle,3
Green heron,3
Horned grebe,3
Neotropic cormorant,3
Northern gannet,3
Northern harrier,3
Pheasant (unidentified),3
Sabine's gull,3
Short-tailed shearwater,3
American wood stork,2
Arctic tern,2
Black skimmer,2
Black turnstone,2
Broad-winged hawk,2
California gull,2
Chilean flamingo,2
Common grackle,2
Ferruginous hawk,2
Fulvous whistling duck,2
Mallard/Black duck hybrid,2
Parasitic jaeger,2
Pied-billed grebe,2
Razorbill,2
Western screech owl,2
African crowned crane,1
American robin,1
Baer's pochard,1
Baikal teal,1
Black-legged kittiwake,1
Boat-tailed grackle,1
Bonaparte's gull,1
Brandt's cormorant,1
Brazilian teal,1
Crane (unidentified),1
Dalmatian pelican,1
Dark-eyed junco,1
Egyptian goose,1
Eider (unidentified),1
Emu,1
Finch (unidentified),1
Forster's tern,1
Gannet,1
Glossy ibis,1
Greater rhea,1
Greater sage grouse,1
Greater scaup,1
Harris hawk,1
Heron (unidentified),1
King vulture,1
Laughing gull,1
Lesser flamingo,1
Long-eared owl,1
Lorikeet (unidentified),1
Merlin,1
Northern fulmar,1
Pacific loon,1
Plush-crested jay,1
Prairie falcon,1
Puna teal,1
Red-necked grebe,1
Red-necked phalarope,1
Red-winged blackbird,1
Roseate spoonbill,1
Ruddy turnstone,1
Ruffed grouse,1
Sandwich tern,1
Scaly-sided merganser,1
Scarlet ibis,1
Short-billed gull,1
Short-eared owl,1
Smew,1
Swan goose,1
Teal (unidentified),1
Thayer's gull,1
Tree swallow,1
Warbler (unidentified),1
Western grebe,1
White-winged scoter,1
Willet,1
